Abricot,44,0.1,0.8,0,87.1,16.3,86.35
Amandes,624,52.1,25.6,0,3.3,151,870
Amarantes,119,2.1,5,0,71.2,14,91.69
Amidons de ble ,348,0.1,0.4,0,12.3,11,11.12
Ananas,52,0.1,0.5,0,86.4,1100,86
Anchois ,182,8.5,26.4,12,55.1,202,73.37
Artichauts,27,0.5,1.8,0.8,90.5,53,9
Asperges,27,0.2,2.2,0,92,200,21
dAubergine,23,0.2,1,0,92.7,100,92.41
dAubergines,23,0.2,1,0,92.7,100,92.41
Aubergines,23,0.2,1,0,92.7,100,92.41
Avocats,144,14.2,1.8,0,76.4,150,73.23
flocon d'avoine ,381,7.5,13.5,0.1,8.7,267,197.7
Baguettes,255,0.9,9,1.6,36.8,952,11.12
Baies ,40,0.5,0.7,0,88.7,153,25
Bami Goreng,130,2.4,13.5,1,70.1,952,11.12
Bananes,89,0.1,1.1,0,75.8,86,7.9
Barres de cereales,415,12.7,7.9,0.4,8.4,54,11.12
Basilics,46,0.8,3.1,0,86.4,28,92.06
Batonnets de poisson,230,11.7,15.5,0.6,56.9,3114,73.37
Batonnet aux noisettes,567,36.6,10.5,0.1,3.3,251,52
Bettes,23,0.2,2.1,0.4,92.4,11,11.2
Betteraves,46,0.1,1.5,0.1,86.2,28,92.66
Beurres,391,39.8,4.8,0.3,51.9,2380,17.94
Bieres,39,0,0.2,0,91.1,600,92.3
Biscottes,421,7.8,11.6,1.3,4,600,92.3
Biscuit,473,27.7,6.7,0.1,13.5,510,5.5
Blanc battu,47,0,7.8,0.1,86.5,480,5.8
Blanc d'oeuf,45,0,10.8,0.5,87.5,480,5.8
Bles,327,1.8,11.4,0,12.6,11,11.12
Boeufs,154,7.5,21.6,0.2,69.7,2700,59.39
Bonbons,385,0.3,0.5,0.1,4.1,371,4
Boudins,149,10.8,10.2,2,76.2,1210,47.3
Cabillauds,76,0.4,18.1,0.1,81.1,741,70
Cacahuetes,623,49.1,26.1,0,2.2,258,6.5
Cacaos,419,24.5,22.5,0,5.1,466,30
Cafes,2,0,0.1,0,99.6,285,3.1
Calamars,83,1.1,16,0.4,79.4,960,51.8
Camemberts,297,23.7,20.8,2.2,52.1,960,51.8
Cannelles,317,3.2,3.9,0.1,9,130,21
Caramels,448,17.2,2.1,0.8,7.8,371,23
Carottes,38,0.3,0.8,0.1,89.2,31,19.5
Carrelets,86,1.9,17.1,0.3,79.7,745,73.37
Cassis,71,0.9,1.3,0,80.5,153,160
Celeris,15,0.1,0.9,0.3,94.4,85,14
Cerfs,112,3.3,20.6,0.2,74.9,185,1400
Cerises,62,0.4,0.8,0,85.7,153,16
Champignon,29,0.4,3.5,0,91.7,4517,23
Champignons,29,0.4,3.5,0,91.7,4517,23
Chanterelles,24,0.5,2.3,0,91.5,230,23
Chapelures,373,2.1,12.7,1,6.8,230,54
Charcuteries,276,24.2,13.9,2,61.2,230,900
Chataignes,210,1.9,2.9,0,44.9,230,230
Chevaux,102,1.9,21.4,0.1,74.8,230,749
Chevres,149,7.9,19.5,0.1,71.6,230,831
Chevreuils,122,3.6,22.4,0.2,72.9,230,754
Chicorees,19,0.1,1.4,0,94,230,230
Chilis,115,3.6,10.4,0.4,74.3,230,387
Chocolat en poudres,398,7.8,5.3,0,1.7,466,1700
Chocolats,537,31.8,5.7,0,0.7,466,1700
Choux blanc,30,0.2,1.4,0,90.4,28,28
Choux rouge,30,0.3,1.4,0,90.6,28,28
Choux-fleurs,26,0.3,2.4,0,91.9,28,28
Ciboulettes,30,0.6,3,0,91.3,23,323
Cidres,32,0,0,0,93.2,230,548
Citrons,23,0.5,0.8,0,90,38,87
Compotes ,55,0.3,0.3,0,85,75,223
Concentres de tomates,77,0.2,4.5,0.6,76.7,40,21
Concombres,14,0.1,0.7,0,96,143,98
Confitures,246,0.5,0.5,0,36,15,97
Cornflakes,363,0.6,7.7,1.7,5.1,12,139
Cornichons,14,0.1,0.7,1.8,93,27,79
Cotechinos,450,42.3,17.2,4.4,36.8,32,23
Cotelettes,177,10.2,21.3,0.1,68.5,654,954
Courges,23,0.1,0.6,0,93.3,78,23
Courgettes,19,0.2,1.8,0,94,62,27
Cremes,252,25.4,2.3,0.1,68.8,44,66
Crepes natures,165,5.6,7.6,0.8,65.7,44,43
Cresson,17,0.2,2.2,0.1,93.5,44,72
Crevettes,56,0.6,11.4,0.5,85.5,11044,2300
Croissants,400,22,7.8,1.2,26.4,49,123
Dattes,289,0.6,2.4,0,22.9,93,23
Eaux,0,0,0,0,100,9,100
Eminces,150,3.8,28.9,0.2,67.2,9,100
Emmentaler,408,32.6,28.4,0.4,35,733,549
Endives,14,0.2,1,0,94.7,78,42
Epinards,23,0.4,2.7,0.2,91.7,98,54
Escalopes,113,2.7,22.2,0.1,75.1,1504,230
Farines,343,1.4,12.4,0,14.8,233,19
Fenouil,23,0.3,1.1,0,92.2,28,15
Flets,72,0.7,16.5,0.4,81.4,267,10
Flocons de cereales,348,3.2,10.8,0,12.9,267,10
Foies,134,4.3,20.3,0.2,71.8,700,500
Fondues ,315,22.4,19.6,0.3,52.2,1350,51.8
Fraises,39,0.5,0.6,0,90.3,153,42
Framboises,44,0.8,1.2,0,86.8,153,41
Frite,127,5,1.8,0,73.7,290,28
Fromages,397,32.1,26.6,1.2,40.7,1350,51.8
Fromages a pate molle,325,27.4,19.4,2.2,52.7,1350,51.8
Fromages a raclette,357,27.9,25.9,1.8,41.4,1350,51.8
Fromages bleu ,360,31.5,19.1,3.8,48.9,1350,51.8
Fromage fondu ,247,21.2,14.1,3,51.3,1350,51.8
Fromages rape,406,32.1,29.3,1.7,38.1,1350,51.8
Fruits de la passion,54,0.2,0.6,0,85.7,105,230
Fruits de la passion,102,3,2.1,0,73.6,105,230
Gallettes de riz ,390,2.8,7.7,0.8,5.8,4067,24
Gateaux,430,24.7,6.9,0.2,23.2,230,340
Gibiers,115,3.4,21.1,0.2,75.5,4966,540
Grenades,81,1.2,1.4,0,79.4,38,77
Groseilles rouge,50,0.7,1.6,0,82.1,153,77
Gruyeres,396,32,26.4,1.5,36,1350,51.8
Haricots verts,31,0.2,2.1,0,90.3,75,50
Houmous,204,14,7.3,1.1,64.6,88,145
Huiles ,810,90,0,0,0,396,12
Jambon ,229,11.5,31,4.4,51.9,1210,56
doeufs,349,31.3,16.4,0.1,52.7,480,5.8
Jaunes doeufs,349,31.3,16.4,0.1,52.7,480,5.8
Jaunes d'oeufs,349,31.3,16.4,0.1,52.7,480,5.8
Jus de fruits,52,0.1,0.4,0,87.1,105,10
Ketchups,117,0.4,2,2.8,66.7,222,128
Kiwis,58,0.6,0.9,0,83.5,77,51
Laits,62,3.4,3.2,0.1,88.7,4364,10
Laitues,16,0.3,1.2,0,94.5,53,23
Langoustines,93,1.3,19.6,0.9,75.9,230,230
Langues ,188,12.3,16.6,0.2,68.3,2700,830
Lapins,150,7.5,20.5,0.1,71.1,1200,710
Lards a manger,400,34.3,22.1,3.8,39,130,510
Legume,26,0.3,1.3,0,92.7,130,340
Legumes,26,0.3,1.3,0,92.7,130,130
Maches,23,0.4,2,0,92.8,130,130
Madeleines,346,11.6,7.5,0.3,27.7,130,130
Mais ,93,1.2,3.3,0,74.7,75,29
Mandarines,47,0.2,0.8,0,87,38,28.9
Mangues,68,0.6,0.6,0,81.1,43,18
Margarines,724,80,0.5,0.2,20,333,169
Mascarpones,435,44.5,4.5,0.2,46.2,452,169
Mayonnaises,742,81.7,1.1,1,14.7,293,169
Melons,62,0.1,1.1,0.1,84.2,94,133
Menthes,49,0.7,3.8,0,86.1,69,122
Meringues,401,0.5,5,0.3,1,356,169
Merlus,71,0.3,17,0.2,81.5,1350,169
Miels ,306,0,0.4,0,20,62,169
Milanais,431,20.8,7.1,0.1,18,94,169
Mille-feuille,301,18.8,4.1,0.3,48.1,364,169
Mirabelles,76,0.2,0.6,0,78.1,98,169
Morilles,29,0.3,2.5,0,90,233,169
mortadelle,314,27.3,16.1,2.1,55.7,383,169
Moutardes,124,7.7,7.1,4.1,67.8,392,169
Mozzarellas,256,19.5,19.5,0.4,58.8,2321,330
Mures,47,0.7,1.1,0,86.1,153,84
Myrtilles,52,0.3,0.9,0,85.7,153,84
Nectar d'orange,44,0,0.4,0,88.2,38,79
Nectarines,55,0.3,1,0,86.1,38,79
Noisettes,661,59.5,16.4,0,4,251,52
Noix,709,67.3,15.7,0,4,600,1400
Noix de cajou,593,45.2,21.5,0,4.6,700,1400
Noix de coco,384,36.5,4.6,0.1,43.9,700,1454
Oeufs,140,9.8,12.6,0.4,76,480,5.8
dOignons,39,0.2,1.3,0,89,54,72
dOignon,39,0.2,1.3,0,89,54,32
Oignons,39,0.2,1.3,0,89,54,32
Olives noire,176,17.2,1.4,1.8,74.9,91,32
Olive,176,17.2,1.4,1.8,74.9,91,32
Olives,176,17.2,1.4,1.8,74.9,91,32
dOlive,176,17.2,1.4,1.8,74.9,91,32
dOlives,176,17.2,1.4,1.8,74.9,91,32
Olives verte,154,15.7,1.3,3.2,75.8,91,32
Oranges,45,0.2,0.8,0,87.3,38,79
Pains,264,4.6,9.2,1.6,38.7,952,11.12
Pamplemousses,42,0.5,0.9,0,88.6,38,130
Panais,62,0.4,1.3,0,81.8,38,130
Papayes,44,0.1,0.5,0,87.9,38,130
Paprikas,358,13,14.8,0.1,9.3,38,130
Parmesans,401,31,30.5,1.6,31.4,38,130
Pasteques,37,0.1,0.7,0,91,38,130
Patates douce,81,0.1,1.6,0.1,77.3,38,130
Pates a gateau brisee,375,21.2,6.7,0.8,32.5,38,130
Pate a pizza ,229,3.6,7,0.7,46.8,38,130
Pate feuillettee,364,24.7,5.2,0.8,39.8,38,130
Pate wasabi,308,10.6,2.9,5.8,0,38,130
Pates,174,4.7,6.9,0.7,60.3,38,130
Peches,43,0.1,0.8,0,87.3,54,9
Pelerines,413,8.3,12.2,0.8,5,38,130
Perches,79,0.7,18,0.2,80.4,38,130
Persils,58,0.5,3.9,0.1,82.1,38,130
Pestos,430,42.5,3.9,2.7,39,38,130
Petits pois,90,0.7,6,0,74.5,28,5.9
Petit-beurre,431,12.4,8.7,0.5,7.2,130,130
Pistache,594,45.4,23.8,0,3.9,560,1100
Poires,54,0.3,0.5,0,83.5,70,10
Poireaux,30,0.3,1.6,0,90.5,35,145
Pois chiches,327,4.9,18.6,0,13,251,52
Poissons,146,6.9,20.9,0.2,72.1,202,600
Poivrons rouges,32,0.4,0.9,0,91.3,93,130
Poivron,32,0.4,0.9,0,91.3,93,130
Poivrons,32,0.4,0.9,0,91.3,93,130
Poivrons verts,20,0.3,0.8,0,92.9,93,130
Pommes de terres,76,0.1,2,0,78.7,290,28
Pommes,52,0.3,0.3,0,85.4,43,8
Popcorns,367,4.2,12,0,4.1,75,145
Porcs,175,8.25,25.17,0.16,65.5,1210,788
Poulets ,168,10.3,18.8,0.2,69.8,690,693
Prunes,48,0.2,0.6,0,83.7,130,28
Puree,90,2.8,2.2,0.1,80.1,290,124
Purees,90,2.8,2.2,0.1,80.1,130,323
Purees de pommes de terres,90,2.8,2.2,0.1,80.1,290,28
Quinoas,368,5,14.8,0,12.6,533,45
Radis blanc,18,0.3,0.6,0,94.8,59,254
Radis rouge,17,0.1,1.1,0.1,94.1,59,60
Raisin blanc,69,0.3,0.7,0,81.1,153,60
Raisin sec,321,0.9,3,0.1,16,153,60
Reblochons,307,25.2,19.9,2,51.7,1350,51.8
Riz ,352,0.9,7.4,0,12.3,4067,24
Romarins,62,2.5,0.8,0,85,130,233
Roqueforts,363,31.7,19.2,4,42.6,130,233
Roquettes,28,0.7,2.6,0.1,91.7,130,233
Sables,474,26.2,5.9,0.1,13.8,130,233
Saindoux,891,99,0,0,0.2,130,233
Salades,18,0.3,1.6,0,94.9,130,233
Salametto,343,31.4,14.8,2.8,53.5,130,233
Salamis,367,30.1,24.1,3.9,40.2,130,233
Salsifis ,55,0.4,1.4,0,76.8,130,233
Salsiz,415,34.9,25.2,3.9,34.4,130,233
Sangliers,108,3.4,19.5,0.2,75.9,130,233
Sardines,163,9,20.4,0.3,69,130,233
Sarrasins,346,1.7,9.8,0,12.8,130,233
Sauces bolognaises,96,4,6.3,0.6,80.9,130,233
Sauces soja,56,0.6,8.1,14,71.2,130,233
Sauces tartares,384,40,3.7,0.3,53.8,130,233
Sauces tomates,69,2.1,1.8,1.4,82.5,40,21
Saucisse,445,39.4,22.2,3.7,38.1,130,233
Saucisses,445,39.4,22.2,3.7,38.1,130,233
Saucissons,403,36.4,18.2,2.5,44.9,130,233
Sauges,59,2.1,1.7,0,85,130,233
Saumons ,200,13.4,19.9,0.1,67,1190,544
Sbrinz,415,33.2,28,1.8,31.9,130,233
Sels,0,0,0,99,0.3,130,233
Semoules,353,1.4,12,0,12.1,130,233
Serac,122,7.2,10.9,0.1,77,130,233
Sirops,55,0,0,0,86.3,130,233
Soles,85,1.1,18.7,0.3,78.5,130,233
Sucres,400,0,0,0,0,130,233
Surimi,125,4.9,8.3,1.6,72.5,130,233
Taboules,110,5.5,2.3,0.4,78,130,233
Thes,0,0,0,0,99.9,130,233
Thons,149,6.2,23.4,0.1,69,610,425
Thym,52,1.2,1.5,0,85,130,233
Tofus,53,2.9,5,0,88.6,500,57
Tomates,21,0.3,0.8,0,93.8,40,21
Truites,127,7,16,0.1,75.3,130,230
Veaux,98,1.1,22,0.1,75.2,1300,543
Viandes,146,6.7,21.4,0.1,71.9,5743,1500
Viandes de boeuf,134,5.4,21.4,0.1,73.2,1210,1534
Viandes de porc,160,8.3,21.4,0.2,70.3,1300,1500
Viandes de veau ,128,4.8,21.1,0.2,74.1,1300,1300
Viandes de volaille,134,5.3,21.6,0.1,73.1,790,450
Vin blanc,71,0,0.2,0,89,180,8.6
vin,70,0,0,0,89.3,180,8.6
Vin rouge,69,0,0.2,0,89.6,180,8.6
Vinaigres,22,0,0.1,0,93.4,180,8.6
Vinaigres balsamique,128,0.6,0.7,0.1,70.3,180,8.6
Vinaigrette,255,25.1,4.7,0.3,67.4,180,8.6
Yogourts,66,3.6,3.9,0.1,85.6,592,89
Zampones,361,31.6,19.1,3.4,45.5,700,230
